geneid,chrom,mean_coverage_genome,coding_exons_genome,proportion of coding exons with coverage below 20_genome,mean_coverage_exome,coding_exons_exome,proportion of coding exons with coverage below 20_exome,Gene % GC content,Gene name,Mim Number,Gene Symbols,Gene Name,Approved Symbol,Entrez Gene ID,Ensembl Gene ID,Comments,Phenotypes,genomes any exon < 20,exomes any exon < 20,routinely tested disease,gene name
ENSG00000099866,19,31.282,"[27.08, 32.03, 33.28, 30.2, 33.82]",0,26.204,"[18.38, 6.42, 14.38, 33.18, 58.66]",60,60.87,MADCAM1,102670,MACAM1,Mucosal addressin cell adhesion molecule-1,MADCAM1,8174,ENSG00000099866,,,,",18.38,6.42,14.38",,
ENSG00000099974,22,12.89333333,"[3.31, 3.31, 32.06]",66.66666667,20.27333333,"[0.0, 0.0, 60.82]",66.66666667,51.61,DDTL,,,,,,,,,",3.31,3.31",",0,0",,
ENSG00000099977,22,29.22333333,"[33.11, 27.28, 27.28]",0,19.07666667,"[57.23, 0.0, 0.0]",66.66666667,54.24,DDT,602750,DDT,D-dopachrome tautomerase,DDT,1652,ENSG00000099977,,,,",0,0",,
ENSG00000099984,22,13.024,"[22.92, 32.3, 3.76, 5.58, 0.56]",60,25.148,"[0.49, 95.06, 8.82, 20.6, 0.77]",60,57.46,GSTT2,600437,GSTT2,Glutathione S-transferase theta-2,GSTT2,2953,ENSG00000099984,,,",3.76,5.58,0.56",",0.49,8.82,0.77",,
ENSG00000103226,16,10.82193548,"[10.32, 22.63, 12.35, 16.43, 10.28, 7.85, 16.54, 14.27, 9.45, 17.12, 23.37, 23.84, 27.12, 13.08, 19.29, 15.21, 12.33, 2.76, 3.49, 11.88, 8.86, 7.6, 3.59, 3.59, 3.59, 3.46, 3.11, 3.09, 2.86, 3.18, 2.94]",87.09677419,15.65645161,"[0.13, 24.83, 0.57, 11.71, 9.82, 0.22, 0.6, 7.42, 4.36, 65.8, 71.5, 45.11, 84.78, 12.68, 43.99, 10.36, 40.26, 0.83, 11.32, 38.39, 0.03, 0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.55, 0.01, 0.0]",74.19354839,45.52,NOMO3,609159,NOMO3,Nodal modulator 3,NOMO3,408050,ENSG00000103226,,,",10.32,12.35,16.43,10.28,7.85,16.54,14.27,9.45,17.12,13.08,19.29,15.21,12.33,2.76,3.49,11.88,8.86,7.6,3.59,3.59,3.59,3.46,3.11,3.09,2.86,3.18,2.94",",0.13,0.57,11.71,9.82,0.22,0.6,7.42,4.36,12.68,10.36,0.83,11.32,0.03,0,0,0,0,0.08,0,0,0.55,0.01,0",,
ENSG00000103260,16,31.7375,"[27.15, 31.15, 33.8, 34.85]",0,15.235,"[2.74, 5.03, 31.97, 21.2]",50,66.79,METRN,610998,METRN,Meteorin,METRN,79006,ENSG00000103260,,,,",2.74,5.03",,
ENSG00000104903,19,33.59,"[33.07, 34.3, 33.4]",0,37.27333333,"[12.07, 83.86, 15.89]",66.66666667,62.1,LYL1,151440,LYL1,Lymphoblastic leukemia derived sequence-1,LYL1,4066,ENSG00000104903,,"Leukemia, T-cell acute lymphoblastoid, 151440 (2)",,",12.07,15.89",,
ENSG00000105327,19,31.28,"[32.76, 30.83, 27.19, 34.34]",0,18.9825,"[33.61, 14.61, 0.47, 27.24]",50,59.73,BBC3,605854,PUMA,p53-upregulated modulator of apoptosis,BBC3,27113,ENSG00000105327,,,,",14.61,0.47",,
ENSG00000105808,7,17.11571429,"[11.37, 11.15, 9.19, 3.53, 5.39, 12.91, 16.78, 4.3, 0.07, 0.38, 23.58, 20.65, 24.99, 7.92, 0.71, 0.85, 55.9, 60.83, 46.28, 2.92, 39.73]",66.66666667,10.33428571,"[0.0, 0.0, 0.09, 7.87, 1.5, 6.99, 2.61, 0.05, 0.05, 0.9, 54.8, 11.14, 14.79, 0.94, 0.08, 0.4, 56.86, 0.01, 0.19, 0.26, 57.49]",85.71428571,56.33,RASA4,607943,"RASA4, CAPRI, GAPL, KIAA0538",Ras p21 protein activator 4,RASA4,10156,ENSG00000105808,,,",11.37,11.15,9.19,3.53,5.39,12.91,16.78,4.3,0.07,0.38,7.92,0.71,0.85,2.92",",0,0,0.09,7.87,1.5,6.99,2.61,0.05,0.05,0.9,11.14,14.79,0.94,0.08,0.4,0.01,0.19,0.26",,
ENSG00000109321,4,11.394,"[27.32, 12.35, 8.36, 4.91, 4.03]",80,24.58,"[48.49, 55.79, 15.07, 3.31, 0.24]",60,36.89,AREG,104640,AREG,Amphiregulin,AREG,374,ENSG00000109321,,,",12.35,8.36,4.91,4.03",",15.07,3.31,0.24",,
ENSG00000116032,19,30.74777778,"[23.95, 34.22, 33.88, 29.74, 28.54, 29.23, 33.84, 31.74, 31.59]",0,35.94444444,"[3.26, 15.36, 64.93, 17.25, 58.27, 56.28, 48.94, 51.93, 7.28]",44.44444444,64.92,GRIN3B,606651,GRIN3B,"Glutamate receptor, ionotropic, N-methyl-D-aspartate 3B",GRIN3B,116444,ENSG00000116032,,,,",3.26,15.36,17.25,7.28",,
ENSG00000116652,1,33.115,"[33.67, 32.56]",0,21.43,"[25.51, 17.35]",50,37.65,DLEU2L,,,,,,,,,,",17.35",,
ENSG00000116985,1,26.88857143,"[33.56, 31.63, 32.38, 40.04, 13.3, 14.31, 23.0]",28.57142857,45.36428571,"[67.84, 71.14, 70.2, 80.83, 4.16, 15.1, 8.28]",42.85714286,55.56,BMP8B,602284,"BMP8B, OP2",Bone morphogenetic protein-8b (osteogenic protein 2),BMP8B,656,ENSG00000116985,,,",13.3,14.31",",4.16,15.1,8.28",,
ENSG00000117262,1,20.69,"[14.81, 32.61, 19.0, 26.42, 23.18, 27.72, 9.13, 3.83, 7.39, 22.29, 24.23, 14.63, 31.59, 32.83]",42.85714286,36.09071429,"[16.97, 85.43, 11.63, 45.04, 16.19, 67.33, 1.57, 0.09, 0.88, 40.13, 59.89, 31.15, 62.21, 66.76]",42.85714286,38.91,GPR89A,612821,GPR89A,G protein-coupled receptor 89A,GPR89A,653519,ENSG00000117262,,,",14.81,19,9.13,3.83,7.39,14.63",",16.97,11.63,16.19,1.57,0.09,0.88",,
ENSG00000120055,10,31.685,"[28.75, 34.62]",0,25.46,"[5.25, 45.67]",50,67.6,C10orf95,,,,,,,,,,",5.25",,
ENSG00000120586,10,4.116,"[8.32, 8.25, 3.01, 13.65, 7.24, 5.51, 6.57, 2.02, 4.95, 1.8, 3.11, 6.25, 1.46, 1.46, 1.46, 1.25, 2.46, 3.98, 4.42, 4.82, 2.12, 1.33, 1.94, 2.69, 1.88, 1.89, 2.39, 5.52, 8.5, 3.23]",100,5.284333333,"[0.06, 19.88, 2.05, 41.7, 11.88, 3.44, 18.95, 0.7, 6.07, 0.0, 5.38, 6.12, 0.0, 0.0, 0.0, 0.35, 0.63, 0.0, 3.81, 6.8, 0.84, 0.62, 2.58, 0.15, 0.04, 0.32, 0.09, 13.32, 12.68, 0.07]",96.66666667,39.24,MRC1,,,,,,,,,",8.32,8.25,3.01,13.65,7.24,5.51,6.57,2.02,4.95,1.8,3.11,6.25,1.46,1.46,1.46,1.25,2.46,3.98,4.42,4.82,2.12,1.33,1.94,2.69,1.88,1.89,2.39,5.52,8.5,3.23",",0.06,19.88,2.05,11.88,3.44,18.95,0.7,6.07,0,5.38,6.12,0,0,0,0.35,0.63,0,3.81,6.8,0.84,0.62,2.58,0.15,0.04,0.32,0.09,13.32,12.68,0.07",,
ENSG00000122497,1,25.01863636,"[29.92, 8.11, 1.82, 0.65, 1.45, 40.92, 68.79, 44.59, 68.5, 40.05, 16.19, 2.15, 4.18, 9.13, 13.56, 18.62, 33.66, 21.16, 38.58, 39.6, 22.69, 26.09]",45.45454545,32.63363636,"[84.62, 6.31, 2.24, 1.12, 2.31, 54.51, 87.39, 56.74, 23.94, 60.87, 9.9, 4.28, 1.46, 5.79, 13.04, 44.87, 54.09, 50.34, 45.01, 16.26, 33.93, 58.92]",45.45454545,43.72,NBPF14,,,,,,,,,",8.11,1.82,0.65,1.45,16.19,2.15,4.18,9.13,13.56,18.62",",6.31,2.24,1.12,2.31,9.9,4.28,1.46,5.79,13.04,16.26",,
ENSG00000124249,20,31.345,"[30.7, 31.99]",0,34.395,"[15.84, 52.95]",50,54.61,KCNK15,607368,"KCNK15, TASK5","Potassium channel, subfamily K, member 15",KCNK15,60598,ENSG00000124249,,,,",15.84",,
ENSG00000125551,2,8.783333333,"[13.47, 3.75, 9.13]",100,2.686666667,"[4.44, 0.69, 2.93]",100,39.78,PLGLB2,,,,,,,,,",13.47,3.75,9.13",",4.44,0.69,2.93",,
ENSG00000125816,20,26.88,"[28.79, 24.97]",0,14.58,"[21.23, 7.93]",50,65.85,NKX2-4,607808,"NKX2-4, NKX2D",NK2 homeobox 4,NKX2-4,644524,ENSG00000125816,,,,",7.93",,
ENSG00000125878,20,27.555,"[32.31, 22.8]",0,18.845,"[29.52, 8.17]",50,56.76,TCF15,601010,TCF15,Transcription factor-15 (basic helix-loop-helix),TCF15,6939,ENSG00000125878,,,,",8.17",,
ENSG00000127561,16,29.52,"[22.77, 30.71, 32.08, 32.52]",0,22.095,"[1.82, 17.71, 29.6, 39.25]",50,66.55,SYNGR3,603927,SYNGR3,Synaptogyrin 3,SYNGR3,9143,ENSG00000127561,,,,",1.82,17.71",,
ENSG00000128165,22,32.805,"[31.68, 33.93]",0,27.17,"[18.58, 35.76]",50,63.64,ADM2,,,,,,,,,,",18.58",,
ENSG00000128245,22,30.175,"[26.46, 33.89]",0,46.135,"[17.86, 74.41]",50,45.04,YWHAH,113508,"YWHAH, YWHA1","Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide 22",YWHAH,7533,ENSG00000128245,,,,",17.86",,
ENSG00000128310,22,29.54,"[33.52, 25.56]",0,39.375,"[68.91, 9.84]",50,66.13,GALR3,603692,GALR3,Galanin receptor 3,GALR3,8484,ENSG00000128310,,,,",9.84",,
ENSG00000129355,19,32,"[33.82, 30.18]",0,49.38,"[86.36, 12.4]",50,58.55,CDKN2D,600927,CDKN2D,"Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",CDKN2D,1032,ENSG00000129355,possible tumor suppressor,,,",12.4",,
ENSG00000129911,19,24.36,"[31.31, 17.41]",50,19.37,"[33.76, 4.98]",50,65.44,KLF16,606139,"KLF16, BTEB4, DRRF",Kruppel-like factor 16,KLF16,83855,ENSG00000129911,,,",17.41",",4.98",,
ENSG00000130193,8,32.63,"[31.34, 33.92]",0,30.625,"[16.64, 44.61]",50,52.84,THEM6,,,,,,,,,,",16.64",,
ENSG00000130283,19,27.855,"[23.91, 31.8]",0,23.575,"[17.21, 29.94]",50,56.9,GDF1,,,,,,,,,,",17.21",,
ENSG00000130748,19,30.75333333,"[32.09, 29.59, 30.58]",0,36.88666667,"[17.98, 81.85, 10.83]",66.66666667,61.6,TMEM160,,,,,,,,,,",17.98,10.83",,
ENSG00000131152,16,34.29,"[34.14, 33.21, 35.62, 34.19]",0,26.1525,"[8.69, 26.25, 14.66, 55.01]",50,52.65,RP11-178L8.4,,,,,,,,,,",8.69,14.66",,
ENSG00000131951,14,32.97516129,"[32.42, 33.67, 32.17, 35.04, 33.2, 33.19, 32.31, 33.17, 34.61, 34.15, 34.92, 31.56, 33.23, 34.08, 33.77, 34.24, 33.64, 31.71, 33.83, 33.1, 32.83, 30.93, 32.99, 32.11, 31.73, 31.66, 32.73, 33.79, 33.16, 32.47, 29.82]",0,18.11806452,"[14.68, 12.93, 6.72, 17.74, 19.07, 16.28, 11.92, 12.48, 15.82, 14.89, 15.74, 14.75, 15.72, 27.67, 26.81, 15.81, 20.88, 19.88, 17.74, 13.85, 19.11, 17.42, 24.76, 24.01, 18.62, 13.77, 24.78, 19.46, 26.08, 20.75, 21.52]",70.96774194,36.5,LRRC9,,,,,,,,,,",14.68,12.93,6.72,17.74,19.07,16.28,11.92,12.48,15.82,14.89,15.74,14.75,15.72,15.81,19.88,17.74,13.85,19.11,17.42,18.62,13.77,19.46",,
ENSG00000132207,16,13.215,"[1.02, 34.52, 11.35, 10.31, 12.93, 9.16]",83.33333333,21.13833333,"[0.9, 66.82, 4.77, 12.48, 29.44, 12.42]",66.66666667,59.95,SLX1A,615822,"SLX1A, GIYD1","SLX1 structure-specific endonuclease subunit, S. cerevisiae, homolog of, A",SLX1A,548593,ENSG00000132207,,,",1.02,11.35,10.31,12.93,9.16",",0.9,4.77,12.48,12.42",,
ENSG00000132498,9,3.657333333,"[1.97, 1.61, 5.38, 2.12, 5.25, 0.59, 3.76, 1.77, 2.86, 6.61, 1.71, 1.16, 4.98, 0.09, 15.0]",100,1.022666667,"[0.03, 0.05, 0.74, 0.0, 0.0, 0.0, 0.25, 0.11, 0.29, 0.0, 0.19, 0.03, 0.46, 0.12, 13.07]",100,36.72,ANKRD20A3,,,,,,,,,",1.97,1.61,5.38,2.12,5.25,0.59,3.76,1.77,2.86,6.61,1.71,1.16,4.98,0.09,15",",0.03,0.05,0.74,0,0,0,0.25,0.11,0.29,0,0.19,0.03,0.46,0.12,13.07",,
ENSG00000132846,5,26.12,[26.12],0,4.14,[4.14],100,43.7,ZBED3,615250,ZBED3,Zinc finger BED domain-containing protein 3,ZBED3,84327,ENSG00000132846,,,,",4.14",,
ENSG00000133433,22,7.474,"[7.71, 15.64, 4.62, 6.0, 3.4]",100,13.504,"[2.94, 39.43, 8.99, 16.08, 0.08]",80,57.38,GSTT2B,,,,,,,,,",7.71,15.64,4.62,6,3.4",",2.94,8.99,16.08,0.08",,
ENSG00000133475,22,17.25166667,"[17.04, 6.35, 12.69, 9.76, 2.57, 16.72, 8.03, 25.07, 26.03, 56.27, 16.5, 9.99]",75,16.01416667,"[2.57, 4.09, 26.34, 20.34, 1.44, 3.26, 9.93, 21.13, 28.06, 50.31, 12.4, 12.3]",58.33333333,54.52,GGT2,137181,GGT2,Gamma-glutamyltransferase-2,GGT2,728441,ENSG00000133475,,"[Gamma-glutamyltransferase, familial high serum], 137181 (2)",",17.04,6.35,12.69,9.76,2.57,16.72,8.03,16.5,9.99",",2.57,4.09,1.44,3.26,9.93,12.4,12.3",,
ENSG00000135045,9,31.65,"[32.89, 30.41]",0,42.915,"[65.91, 19.92]",50,42.71,C9orf40,,,,,,,,,,",19.92",,
ENSG00000135116,12,21.43,[21.43],0,1.86,[1.86],100,49,HRK,603447,"HRK, DP5",Harakiri,HRK,8739,ENSG00000135116,,,,",1.86",,
ENSG00000135363,11,27.575,"[33.31, 33.23, 22.64, 21.12]",0,42.0675,"[78.89, 77.49, 2.97, 8.92]",50,46.4,LMO2,180385,"LMO2, RBTNL1, RHOM2, TTG2",LIM domain only 2 (rhombotin-like 1),LMO2,4005,ENSG00000135363,3rd rhombotin gene not on 11,"Leukemia, acute T-cell, 180385 (2)",,",2.97,8.92",,
ENSG00000135625,2,32.43,"[33.03, 31.83]",0,25.37,"[33.43, 17.31]",50,65.13,EGR4,128992,"EGR4, NGFIC",Early growth response-4,EGR4,1961,ENSG00000135625,,,,",17.31",,
ENSG00000136026,12,27.465,"[33.23, 21.7]",0,47.51,"[84.61, 10.41]",50,44.3,CKAP4,,,,,,,,,,",10.41",,
ENSG00000136197,7,33.76,"[35.01, 32.51]",0,47.93,"[85.99, 9.87]",50,47.71,C7orf25,,,,,,,,,,",9.87",,
ENSG00000136327,14,33.245,"[33.07, 33.42]",0,24.155,"[17.96, 30.35]",50,64.71,NKX2-8,603245,"NKX2-8, NKX2H, NKX2.8",NK2 homeobox 8,NKX2-8,26257,ENSG00000136327,,,,",17.96",,
ENSG00000136682,2,22.51666667,"[28.5, 18.56, 18.33, 31.5, 26.89, 29.0, 28.43, 32.59, 16.3, 26.42, 16.48, 17.29, 16.77, 16.46, 14.23]",53.33333333,32.22533333,"[82.66, 14.88, 10.64, 78.33, 51.26, 34.07, 43.12, 69.39, 2.91, 32.73, 5.06, 8.8, 2.97, 40.21, 6.35]",46.66666667,36.27,CBWD2,611079,CBWD2,Cobalamin synthetase W domain-containing protein 2,CBWD2,150472,ENSG00000136682,,,",18.56,18.33,16.3,16.48,17.29,16.77,16.46,14.23",",14.88,10.64,2.91,5.06,8.8,2.97,6.35",,
ENSG00000136698,2,11.16,"[8.52, 7.26, 6.86, 26.49, 16.49, 1.34]",83.33333333,18.13833333,"[5.61, 0.78, 0.05, 76.88, 25.24, 0.27]",66.66666667,53.19,CFC1,605194,"CFC1, CRYPTIC, HTX2",Cryptic protein,CFC1,55997,ENSG00000136698,,"Heterotaxy, visceral, 2, autosomal, 605376 (3), Autosomal dominant",",8.52,7.26,6.86,16.49,1.34",",5.61,0.78,0.05,0.27",,
ENSG00000138297,10,12.55714286,"[33.58, 2.31, 5.45, 1.6, 0.17, 18.54, 26.25]",71.42857143,17.61,"[62.39, 1.35, 0.0, 0.23, 0.02, 26.23, 33.05]",57.14285714,40.11,TIMM23,,,,,,,,,",2.31,5.45,1.6,0.17,18.54",",1.35,0,0.23,0.02",,
ENSG00000140478,15,12.55222222,"[16.77, 9.82, 9.79, 6.93, 17.38, 8.64, 22.36, 17.51, 7.2, 0.52, 1.32, 0.02, 0.4, 29.4, 24.46, 15.16, 12.42, 25.84]",77.77777778,13.03,"[0.04, 0.0, 0.02, 0.06, 6.99, 2.48, 55.81, 24.0, 6.76, 1.29, 1.25, 0.0, 0.49, 19.18, 18.27, 13.58, 9.52, 74.8]",83.33333333,53.29,GOLGA6D,,,,,,,,,",16.77,9.82,9.79,6.93,17.38,8.64,17.51,7.2,0.52,1.32,0.02,0.4,15.16,12.42",",0.04,0,0.02,0.06,6.99,2.48,6.76,1.29,1.25,0,0.49,19.18,18.27,13.58,9.52",,
ENSG00000140992,16,21.87857143,"[19.97, 26.99, 5.93, 6.56, 5.2, 5.2, 28.36, 23.46, 23.43, 23.41, 33.96, 34.52, 36.0, 33.31]",35.71428571,28.09428571,"[0.22, 51.23, 3.86, 2.1, 0.0, 0.0, 53.09, 0.01, 0.0, 0.03, 92.56, 71.18, 53.76, 65.28]",57.14285714,52.51,PDPK1,605213,"PDPK1, PDK1",3-phosphoinositide-dependent protein kinase 1,PDPK1,5170,ENSG00000140992,,,",19.97,5.93,6.56,5.2,5.2",",0.22,3.86,2.1,0,0,0.01,0,0.03",,
ENSG00000141933,19,29.89,"[32.64, 27.14]",0,9.925,"[7.49, 12.36]",100,61.64,TPGS1,,,,,,,,,,",7.49,12.36",,
ENSG00000142409,19,30.21,"[26.94, 33.48]",0,25.985,"[14.37, 37.6]",50,58.61,ZNF787,,,,,,,,,,",14.37",,
ENSG00000142444,19,31.605,"[29.97, 33.24]",0,28.21,"[16.72, 39.7]",50,52.55,C19orf52,617380,"TIMM29, C19orf52",Translocase of inner mitochondrial membrane 29,TIMM29,90580,ENSG00000142444,,,,",16.72",,
ENSG00000142544,19,25.865,"[25.01, 26.72]",0,10.92,"[13.12, 8.72]",100,54.31,CTU1,612694,"CTU1, ATPBD3",Cytothiouridylase subunit 1,CTU1,90353,ENSG00000142544,,,,",13.12,8.72",,
ENSG00000142700,1,30.88,"[29.66, 32.1]",0,14.995,"[18.21, 11.78]",100,60.11,DMRTA2,614804,DMRTA2,Doublesex- and MAB3-related transcription factor A2,DMRTA2,63950,ENSG00000142700,,,,",18.21,11.78",,
ENSG00000143869,2,26.015,"[20.05, 31.98]",0,19.175,"[4.97, 33.38]",50,59.51,GDF7,604651,GDF7,Growth/differentiation factor 7,GDF7,151449,ENSG00000143869,,,,",4.97",,
ENSG00000144015,2,23.55666667,"[26.7, 31.97, 26.81, 21.89, 21.82, 12.15]",16.66666667,26.02666667,"[58.4, 42.07, 51.67, 0.05, 0.0, 3.97]",50,39.6,TRIM43,,,,,,,,,",12.15",",0.05,0,3.97",,
ENSG00000144063,2,31.565,"[21.37, 21.37, 54.82, 28.7]",0,14.5825,"[0.0, 0.0, 50.31, 8.02]",75,47.33,MALL,602022,"MALL, BENE","mal, T-cell differentiation protein-like",MALL,7851,ENSG00000144063,,,,",0,0,8.02",,
ENSG00000144227,2,32.93,"[34.19, 31.67]",0,36.845,"[66.28, 7.41]",50,38.25,NXPH2,604635,"NXPH2, NPH2",Neuroxophilin 2,NXPH2,11249,ENSG00000144227,,,,",7.41",,
ENSG00000144485,2,25.655,"[33.55, 21.52, 22.09, 25.46]",0,16.6925,"[47.7, 3.68, 7.14, 8.25]",75,70.08,HES6,610331,HES6,"Hairy/enhancer of split, Drosophila, homolog of, 6",HES6,55502,ENSG00000144485,,,,",3.68,7.14,8.25",,
ENSG00000145002,8,16.7375,"[7.14, 13.12, 15.47, 3.34, 42.37, 1.77, 25.59, 25.1]",62.5,23.3825,"[7.07, 34.54, 26.73, 11.12, 71.16, 0.45, 23.26, 12.73]",50,53.69,FAM86B2,616123,FAM86B2,"Family with sequence similarity 86, member B2",FAM86B2,653333,ENSG00000145002,,,",7.14,13.12,15.47,3.34,1.77",",7.07,11.12,0.45,12.73",,
ENSG00000145700,5,32.36076923,"[34.4, 32.74, 32.79, 33.09, 34.24, 31.94, 32.19, 29.79, 32.46, 30.14, 32.52, 32.6, 33.97, 33.32, 32.23, 33.14, 33.77, 34.67, 33.71, 33.93, 31.73, 22.71, 32.08, 32.14, 33.41, 31.67]",0,23.07961538,"[16.71, 19.57, 40.0, 26.27, 31.76, 18.71, 18.86, 16.68, 13.42, 19.27, 26.77, 0.07, 38.08, 18.31, 20.85, 31.88, 21.13, 23.45, 41.64, 25.9, 22.65, 15.5, 17.01, 24.43, 25.48, 25.67]",42.30769231,37.34,ANKRD31,,,,,,,,,,",16.71,19.57,18.71,18.86,16.68,13.42,19.27,0.07,18.31,15.5,17.01",,
