geneid,chrom,mean_coverage_genome,coding_exons_genome,proportion of coding exons with coverage below 20_genome,mean_coverage_exome,coding_exons_exome,proportion of coding exons with coverage below 20_exome,Gene % GC content,Gene name,Mim Number,Gene Symbols,Gene Name,Approved Symbol,Entrez Gene ID,Ensembl Gene ID,Comments,Phenotypes,genomes any exon < 20,exomes any exon < 20,routinely tested disease,gene name
ENSG00000099290,10,11.29451613,"[32.21, 27.5, 31.4, 5.38, 3.33, 8.39, 4.3, 7.99, 6.05, 2.79, 9.0, 13.16, 18.66, 11.21, 5.77, 4.21, 9.7, 22.93, 16.17, 4.94, 6.03, 9.95, 5.47, 4.43, 1.02, 15.85, 15.29, 5.75, 12.68, 9.35, 19.22]",87.09677419,14.63709677,"[52.8, 50.05, 74.74, 1.94, 0.52, 0.96, 3.2, 8.24, 0.05, 0.5, 5.02, 10.62, 12.05, 11.3, 11.95, 3.23, 11.89, 58.7, 15.57, 0.8, 3.41, 13.67, 0.37, 1.74, 0.96, 22.53, 0.15, 2.61, 13.26, 10.7, 50.22]",80.64516129,42.59,FAM21A,,,,,,,,,",5.38,3.33,8.39,4.3,7.99,6.05,2.79,9,13.16,18.66,11.21,5.77,4.21,9.7,16.17,4.94,6.03,9.95,5.47,4.43,1.02,15.85,15.29,5.75,12.68,9.35,19.22",",1.94,0.52,0.96,3.2,8.24,0.05,0.5,5.02,10.62,12.05,11.3,11.95,3.23,11.89,15.57,0.8,3.41,13.67,0.37,1.74,0.96,0.15,2.61,13.26,10.7",,
ENSG00000099974,22,12.89333333,"[3.31, 3.31, 32.06]",66.66666667,20.27333333,"[0.0, 0.0, 60.82]",66.66666667,51.61,DDTL,,,,,,,,,",3.31,3.31",",0,0",,
ENSG00000099984,22,13.024,"[22.92, 32.3, 3.76, 5.58, 0.56]",60,25.148,"[0.49, 95.06, 8.82, 20.6, 0.77]",60,57.46,GSTT2,600437,GSTT2,Glutathione S-transferase theta-2,GSTT2,2953,ENSG00000099984,,,",3.76,5.58,0.56",",0.49,8.82,0.77",,
ENSG00000103226,16,10.82193548,"[10.32, 22.63, 12.35, 16.43, 10.28, 7.85, 16.54, 14.27, 9.45, 17.12, 23.37, 23.84, 27.12, 13.08, 19.29, 15.21, 12.33, 2.76, 3.49, 11.88, 8.86, 7.6, 3.59, 3.59, 3.59, 3.46, 3.11, 3.09, 2.86, 3.18, 2.94]",87.09677419,15.65645161,"[0.13, 24.83, 0.57, 11.71, 9.82, 0.22, 0.6, 7.42, 4.36, 65.8, 71.5, 45.11, 84.78, 12.68, 43.99, 10.36, 40.26, 0.83, 11.32, 38.39, 0.03, 0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.55, 0.01, 0.0]",74.19354839,45.52,NOMO3,609159,NOMO3,Nodal modulator 3,NOMO3,408050,ENSG00000103226,,,",10.32,12.35,16.43,10.28,7.85,16.54,14.27,9.45,17.12,13.08,19.29,15.21,12.33,2.76,3.49,11.88,8.86,7.6,3.59,3.59,3.59,3.46,3.11,3.09,2.86,3.18,2.94",",0.13,0.57,11.71,9.82,0.22,0.6,7.42,4.36,12.68,10.36,0.83,11.32,0.03,0,0,0,0,0.08,0,0,0.55,0.01,0",,
ENSG00000104827,19,17.13,"[15.48, 9.04, 26.87]",66.66666667,37.84666667,"[22.34, 10.12, 81.08]",33.33333333,64.98,CGB,118860,CGB,"Chorionic gonadotropin, beta polypeptide",CGB3,1082,ENSG00000104827,at least 5 genes,,",15.48,9.04",",10.12",,
ENSG00000105808,7,17.11571429,"[11.37, 11.15, 9.19, 3.53, 5.39, 12.91, 16.78, 4.3, 0.07, 0.38, 23.58, 20.65, 24.99, 7.92, 0.71, 0.85, 55.9, 60.83, 46.28, 2.92, 39.73]",66.66666667,10.33428571,"[0.0, 0.0, 0.09, 7.87, 1.5, 6.99, 2.61, 0.05, 0.05, 0.9, 54.8, 11.14, 14.79, 0.94, 0.08, 0.4, 56.86, 0.01, 0.19, 0.26, 57.49]",85.71428571,56.33,RASA4,607943,"RASA4, CAPRI, GAPL, KIAA0538",Ras p21 protein activator 4,RASA4,10156,ENSG00000105808,,,",11.37,11.15,9.19,3.53,5.39,12.91,16.78,4.3,0.07,0.38,7.92,0.71,0.85,2.92",",0,0,0.09,7.87,1.5,6.99,2.61,0.05,0.05,0.9,11.14,14.79,0.94,0.08,0.4,0.01,0.19,0.26",,
ENSG00000109321,4,11.394,"[27.32, 12.35, 8.36, 4.91, 4.03]",80,24.58,"[48.49, 55.79, 15.07, 3.31, 0.24]",60,36.89,AREG,104640,AREG,Amphiregulin,AREG,374,ENSG00000109321,,,",12.35,8.36,4.91,4.03",",15.07,3.31,0.24",,
ENSG00000117262,1,20.69,"[14.81, 32.61, 19.0, 26.42, 23.18, 27.72, 9.13, 3.83, 7.39, 22.29, 24.23, 14.63, 31.59, 32.83]",42.85714286,36.09071429,"[16.97, 85.43, 11.63, 45.04, 16.19, 67.33, 1.57, 0.09, 0.88, 40.13, 59.89, 31.15, 62.21, 66.76]",42.85714286,38.91,GPR89A,612821,GPR89A,G protein-coupled receptor 89A,GPR89A,653519,ENSG00000117262,,,",14.81,19,9.13,3.83,7.39,14.63",",16.97,11.63,16.19,1.57,0.09,0.88",,
ENSG00000120586,10,4.116,"[8.32, 8.25, 3.01, 13.65, 7.24, 5.51, 6.57, 2.02, 4.95, 1.8, 3.11, 6.25, 1.46, 1.46, 1.46, 1.25, 2.46, 3.98, 4.42, 4.82, 2.12, 1.33, 1.94, 2.69, 1.88, 1.89, 2.39, 5.52, 8.5, 3.23]",100,5.284333333,"[0.06, 19.88, 2.05, 41.7, 11.88, 3.44, 18.95, 0.7, 6.07, 0.0, 5.38, 6.12, 0.0, 0.0, 0.0, 0.35, 0.63, 0.0, 3.81, 6.8, 0.84, 0.62, 2.58, 0.15, 0.04, 0.32, 0.09, 13.32, 12.68, 0.07]",96.66666667,39.24,MRC1,,,,,,,,,",8.32,8.25,3.01,13.65,7.24,5.51,6.57,2.02,4.95,1.8,3.11,6.25,1.46,1.46,1.46,1.25,2.46,3.98,4.42,4.82,2.12,1.33,1.94,2.69,1.88,1.89,2.39,5.52,8.5,3.23",",0.06,19.88,2.05,11.88,3.44,18.95,0.7,6.07,0,5.38,6.12,0,0,0,0.35,0.63,0,3.81,6.8,0.84,0.62,2.58,0.15,0.04,0.32,0.09,13.32,12.68,0.07",,
ENSG00000122497,1,25.01863636,"[29.92, 8.11, 1.82, 0.65, 1.45, 40.92, 68.79, 44.59, 68.5, 40.05, 16.19, 2.15, 4.18, 9.13, 13.56, 18.62, 33.66, 21.16, 38.58, 39.6, 22.69, 26.09]",45.45454545,32.63363636,"[84.62, 6.31, 2.24, 1.12, 2.31, 54.51, 87.39, 56.74, 23.94, 60.87, 9.9, 4.28, 1.46, 5.79, 13.04, 44.87, 54.09, 50.34, 45.01, 16.26, 33.93, 58.92]",45.45454545,43.72,NBPF14,,,,,,,,,",8.11,1.82,0.65,1.45,16.19,2.15,4.18,9.13,13.56,18.62",",6.31,2.24,1.12,2.31,9.9,4.28,1.46,5.79,13.04,16.26",,
ENSG00000125551,2,8.783333333,"[13.47, 3.75, 9.13]",100,2.686666667,"[4.44, 0.69, 2.93]",100,39.78,PLGLB2,,,,,,,,,",13.47,3.75,9.13",",4.44,0.69,2.93",,
ENSG00000129911,19,24.36,"[31.31, 17.41]",50,19.37,"[33.76, 4.98]",50,65.44,KLF16,606139,"KLF16, BTEB4, DRRF",Kruppel-like factor 16,KLF16,83855,ENSG00000129911,,,",17.41",",4.98",,
ENSG00000130656,16,18.54666667,"[30.59, 5.41, 19.64]",66.66666667,30.67333333,"[70.72, 0.93, 20.37]",33.33333333,68.63,HBZ,142310,HBZ,"Hemoglobin, zeta",HBZ,3050,ENSG00000130656,,,",5.41,19.64",",0.93",,
ENSG00000132207,16,13.215,"[1.02, 34.52, 11.35, 10.31, 12.93, 9.16]",83.33333333,21.13833333,"[0.9, 66.82, 4.77, 12.48, 29.44, 12.42]",66.66666667,59.95,SLX1A,615822,"SLX1A, GIYD1","SLX1 structure-specific endonuclease subunit, S. cerevisiae, homolog of, A",SLX1A,548593,ENSG00000132207,,,",1.02,11.35,10.31,12.93,9.16",",0.9,4.77,12.48,12.42",,
ENSG00000132498,9,3.657333333,"[1.97, 1.61, 5.38, 2.12, 5.25, 0.59, 3.76, 1.77, 2.86, 6.61, 1.71, 1.16, 4.98, 0.09, 15.0]",100,1.022666667,"[0.03, 0.05, 0.74, 0.0, 0.0, 0.0, 0.25, 0.11, 0.29, 0.0, 0.19, 0.03, 0.46, 0.12, 13.07]",100,36.72,ANKRD20A3,,,,,,,,,",1.97,1.61,5.38,2.12,5.25,0.59,3.76,1.77,2.86,6.61,1.71,1.16,4.98,0.09,15",",0.03,0.05,0.74,0,0,0,0.25,0.11,0.29,0,0.19,0.03,0.46,0.12,13.07",,
ENSG00000133433,22,7.474,"[7.71, 15.64, 4.62, 6.0, 3.4]",100,13.504,"[2.94, 39.43, 8.99, 16.08, 0.08]",80,57.38,GSTT2B,,,,,,,,,",7.71,15.64,4.62,6,3.4",",2.94,8.99,16.08,0.08",,
ENSG00000133475,22,17.25166667,"[17.04, 6.35, 12.69, 9.76, 2.57, 16.72, 8.03, 25.07, 26.03, 56.27, 16.5, 9.99]",75,16.01416667,"[2.57, 4.09, 26.34, 20.34, 1.44, 3.26, 9.93, 21.13, 28.06, 50.31, 12.4, 12.3]",58.33333333,54.52,GGT2,137181,GGT2,Gamma-glutamyltransferase-2,GGT2,728441,ENSG00000133475,,"[Gamma-glutamyltransferase, familial high serum], 137181 (2)",",17.04,6.35,12.69,9.76,2.57,16.72,8.03,16.5,9.99",",2.57,4.09,1.44,3.26,9.93,12.4,12.3",,
ENSG00000136682,2,22.51666667,"[28.5, 18.56, 18.33, 31.5, 26.89, 29.0, 28.43, 32.59, 16.3, 26.42, 16.48, 17.29, 16.77, 16.46, 14.23]",53.33333333,32.22533333,"[82.66, 14.88, 10.64, 78.33, 51.26, 34.07, 43.12, 69.39, 2.91, 32.73, 5.06, 8.8, 2.97, 40.21, 6.35]",46.66666667,36.27,CBWD2,611079,CBWD2,Cobalamin synthetase W domain-containing protein 2,CBWD2,150472,ENSG00000136682,,,",18.56,18.33,16.3,16.48,17.29,16.77,16.46,14.23",",14.88,10.64,2.91,5.06,8.8,2.97,6.35",,
ENSG00000136698,2,11.16,"[8.52, 7.26, 6.86, 26.49, 16.49, 1.34]",83.33333333,18.13833333,"[5.61, 0.78, 0.05, 76.88, 25.24, 0.27]",66.66666667,53.19,CFC1,605194,"CFC1, CRYPTIC, HTX2",Cryptic protein,CFC1,55997,ENSG00000136698,,"Heterotaxy, visceral, 2, autosomal, 605376 (3), Autosomal dominant",",8.52,7.26,6.86,16.49,1.34",",5.61,0.78,0.05,0.27",,
ENSG00000138297,10,12.55714286,"[33.58, 2.31, 5.45, 1.6, 0.17, 18.54, 26.25]",71.42857143,17.61,"[62.39, 1.35, 0.0, 0.23, 0.02, 26.23, 33.05]",57.14285714,40.11,TIMM23,,,,,,,,,",2.31,5.45,1.6,0.17,18.54",",1.35,0,0.23,0.02",,
ENSG00000140478,15,12.55222222,"[16.77, 9.82, 9.79, 6.93, 17.38, 8.64, 22.36, 17.51, 7.2, 0.52, 1.32, 0.02, 0.4, 29.4, 24.46, 15.16, 12.42, 25.84]",77.77777778,13.03,"[0.04, 0.0, 0.02, 0.06, 6.99, 2.48, 55.81, 24.0, 6.76, 1.29, 1.25, 0.0, 0.49, 19.18, 18.27, 13.58, 9.52, 74.8]",83.33333333,53.29,GOLGA6D,,,,,,,,,",16.77,9.82,9.79,6.93,17.38,8.64,17.51,7.2,0.52,1.32,0.02,0.4,15.16,12.42",",0.04,0,0.02,0.06,6.99,2.48,6.76,1.29,1.25,0,0.49,19.18,18.27,13.58,9.52",,
ENSG00000140992,16,21.87857143,"[19.97, 26.99, 5.93, 6.56, 5.2, 5.2, 28.36, 23.46, 23.43, 23.41, 33.96, 34.52, 36.0, 33.31]",35.71428571,28.09428571,"[0.22, 51.23, 3.86, 2.1, 0.0, 0.0, 53.09, 0.01, 0.0, 0.03, 92.56, 71.18, 53.76, 65.28]",57.14285714,52.51,PDPK1,605213,"PDPK1, PDK1",3-phosphoinositide-dependent protein kinase 1,PDPK1,5170,ENSG00000140992,,,",19.97,5.93,6.56,5.2,5.2",",0.22,3.86,2.1,0,0,0.01,0,0.03",,
ENSG00000145002,8,16.7375,"[7.14, 13.12, 15.47, 3.34, 42.37, 1.77, 25.59, 25.1]",62.5,23.3825,"[7.07, 34.54, 26.73, 11.12, 71.16, 0.45, 23.26, 12.73]",50,53.69,FAM86B2,616123,FAM86B2,"Family with sequence similarity 86, member B2",FAM86B2,653333,ENSG00000145002,,,",7.14,13.12,15.47,3.34,1.77",",7.07,11.12,0.45,12.73",,
ENSG00000145736,5,10.46066667,"[14.96, 13.91, 13.25, 19.15, 12.77, 9.69, 10.79, 1.17, 23.54, 2.42, 3.79, 5.67, 23.38, 1.56, 0.86]",86.66666667,7.716,"[0.78, 0.71, 0.0, 25.8, 3.33, 5.6, 0.03, 0.0, 48.69, 0.4, 2.84, 0.8, 25.1, 1.65, 0.01]",80,38.32,GTF2H2,601748,GTF2H2,"General transcription factor IIH, polypeptide 2 (44kD subunit)",GTF2H2,2966,ENSG00000145736,2 copies,,",14.96,13.91,13.25,19.15,12.77,9.69,10.79,1.17,2.42,3.79,5.67,1.56,0.86",",0.78,0.71,0,3.33,5.6,0.03,0,0.4,2.84,0.8,1.65,0.01",,
ENSG00000147926,9,9.55,"[5.9, 13.86, 9.95, 8.49]",100,3.5475,"[0.11, 2.96, 1.79, 9.33]",100,52.87,SPATA31A3,,,,,,,,,",5.9,13.86,9.95,8.49",",0.11,2.96,1.79,9.33",,
ENSG00000147996,9,14.26923077,"[11.82, 11.82, 11.82, 11.82, 11.82, 11.82, 11.82, 11.82, 11.82, 11.62, 31.97, 13.93, 21.6]",84.61538462,6.203846154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 34.36, 1.71, 44.5]",84.61538462,36.05,CBWD5,,,,,,,,,",11.82,11.82,11.82,11.82,11.82,11.82,11.82,11.82,11.82,11.62,13.93",",0,0,0,0,0,0,0,0,0,0.08,1.71",,
ENSG00000148483,10,11.42,"[22.0, 19.74, 3.13, 0.81]",75,12.655,"[0.06, 48.79, 1.25, 0.52]",75,40.77,TMEM236,,,,,,,,,",19.74,3.13,0.81",",0.06,1.25,0.52",,
ENSG00000150165,10,11.81333333,"[20.92, 14.28, 14.27, 14.27, 14.27, 14.27, 14.27, 14.27, 14.27, 1.74, 2.65, 2.28]",91.66666667,4.263333333,"[50.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.97, 0.0]",91.66666667,54.07,ANXA8L1,,,,,,,,,",14.28,14.27,14.27,14.27,14.27,14.27,14.27,14.27,1.74,2.65,2.28",",0,0,0,0,0,0,0,0,0,0.97,0",,
ENSG00000152042,1,3.05047619,"[7.03, 7.03, 5.02, 2.9, 2.35, 2.35, 1.97, 1.15, 0.76, 0.77, 0.9, 0.38, 0.38, 0.38, 0.38, 0.38, 0.75, 1.26, 14.68, 11.18, 2.06]",100,1.308571429,"[0.0, 0.0, 1.44, 2.0, 0.0, 0.0, 1.78, 0.84, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.02, 0.56, 0.0, 4.05, 16.54, 0.0]",100,45.45,NBPF11,,,,,,,,,",7.03,7.03,5.02,2.9,2.35,2.35,1.97,1.15,0.76,0.77,0.9,0.38,0.38,0.38,0.38,0.38,0.75,1.26,14.68,11.18,2.06",",0,0,1.44,2,0,0,1.78,0.84,0,0,0.25,0,0,0,0,0.02,0.56,0,4.05,16.54,0",,
ENSG00000152093,2,3.668333333,"[4.68, 4.06, 4.09, 3.18, 3.07, 2.93]",100,0.2,"[0.01, 0.39, 0.71, 0.0, 0.04, 0.05]",100,53.14,CFC1B,,,,,,,,,",4.68,4.06,4.09,3.18,3.07,2.93",",0.01,0.39,0.71,0,0.04,0.05",,
ENSG00000152726,10,5.107586207,"[0.49, 1.09, 1.81, 6.77, 2.19, 6.64, 4.35, 2.2, 6.87, 9.8, 8.2, 7.98, 12.58, 5.49, 7.38, 7.51, 6.68, 3.28, 8.26, 4.69, 2.65, 2.31, 0.63, 6.08, 2.71, 3.45, 5.23, 3.88, 6.92]",100,9.843448276,"[0.06, 0.87, 0.25, 0.49, 0.02, 5.11, 0.31, 0.42, 6.89, 35.21, 19.3, 6.9, 18.48, 1.35, 35.52, 19.07, 21.7, 0.43, 38.19, 6.23, 0.29, 0.64, 0.38, 14.2, 0.27, 11.37, 13.38, 7.06, 21.07]",82.75862069,42.3,FAM21B,,,,,,,,,",0.49,1.09,1.81,6.77,2.19,6.64,4.35,2.2,6.87,9.8,8.2,7.98,12.58,5.49,7.38,7.51,6.68,3.28,8.26,4.69,2.65,2.31,0.63,6.08,2.71,3.45,5.23,3.88,6.92",",0.06,0.87,0.25,0.49,0.02,5.11,0.31,0.42,6.89,19.3,6.9,18.48,1.35,19.07,0.43,6.23,0.29,0.64,0.38,14.2,0.27,11.37,13.38,7.06",,
ENSG00000153165,2,20.2426087,"[26.94, 29.46, 28.29, 26.34, 17.12, 14.29, 20.45, 28.31, 20.9, 5.36, 16.04, 29.25, 25.06, 11.03, 3.31, 19.37, 5.85, 11.76, 7.88, 37.26, 19.49, 29.93, 31.89]",47.82608696,34.88,"[50.1, 85.38, 78.79, 60.97, 71.75, 3.99, 57.11, 66.83, 54.65, 1.54, 1.43, 69.77, 14.48, 3.58, 3.25, 26.28, 2.54, 2.45, 2.28, 69.02, 4.2, 19.66, 52.19]",47.82608696,40.2,RGPD3,612706,"RGPD3, RGP3",RANBP2-like and GRIP domain-containing protein 3,RGPD3,653489,ENSG00000153165,,,",17.12,14.29,5.36,16.04,11.03,3.31,19.37,5.85,11.76,7.88,19.49",",3.99,1.54,1.43,14.48,3.58,3.25,2.54,2.45,2.28,4.2,19.66",,
ENSG00000153666,15,20.60842105,"[18.92, 9.45, 15.26, 23.9, 17.58, 12.63, 19.93, 25.47, 28.2, 32.32, 20.07, 25.7, 29.2, 30.83, 12.8, 15.93, 14.54, 15.35, 23.48]",52.63157895,32.07842105,"[17.64, 2.1, 14.65, 35.58, 25.34, 16.59, 19.47, 36.21, 41.63, 90.01, 21.4, 68.1, 70.86, 52.66, 5.89, 18.64, 21.61, 10.66, 40.45]",42.10526316,48.68,GOLGA8I,,,,,,,,,",18.92,9.45,15.26,17.58,12.63,19.93,12.8,15.93,14.54,15.35",",17.64,2.1,14.65,16.59,19.47,5.89,18.64,10.66",,
ENSG00000153684,15,7.503684211,"[6.45, 12.97, 5.12, 5.11, 5.11, 5.11, 5.11, 5.1, 9.64, 6.43, 5.7, 18.55, 4.57, 2.22, 32.37, 3.45, 3.23, 3.22, 3.11]",94.73684211,7.044210526,"[0.0, 0.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.89, 11.8, 4.4, 18.29, 5.35, 0.59, 67.54, 0.46, 0.09, 0.01, 0.01]",89.47368421,49.11,GOLGA8F,,,,,,,,,",6.45,12.97,5.12,5.11,5.11,5.11,5.11,5.1,9.64,6.43,5.7,18.55,4.57,2.22,3.45,3.23,3.22,3.11",",0,0.41,0,0,0,0,0,0,11.8,4.4,18.29,5.35,0.59,0.46,0.09,0.01,0.01",,
ENSG00000154016,17,21.37,"[33.8, 35.2, 4.65, 10.06, 23.14]",40,17.104,"[21.18, 55.41, 0.0, 8.9, 0.03]",60,56.69,GRAP,,,,,,,,,",4.65,10.06",",0,8.9,0.03",,
ENSG00000154035,17,26.24,"[32.13, 33.94, 19.72, 19.17]",50,24.8425,"[58.43, 40.0, 0.68, 0.26]",50,58.51,C17orf103,,,,,,,,,",19.72,19.17",",0.68,0.26",,
ENSG00000154529,9,18.63583333,"[19.67, 12.42, 17.41, 6.02, 29.57, 35.62, 19.52, 24.42, 13.87, 15.09, 40.73, 48.45, 39.36, 8.29, 22.25, 1.02, 10.96, 13.73, 7.27, 5.09, 4.02, 15.59, 15.19, 21.7]",66.66666667,18.86833333,"[16.68, 19.93, 25.74, 2.24, 37.31, 62.05, 42.8, 33.4, 36.5, 6.56, 20.64, 23.5, 24.34, 8.39, 41.18, 0.33, 6.8, 0.83, 0.33, 0.95, 0.06, 0.43, 41.32, 0.53]",54.16666667,38.25,CNTNAP3B,,,,,,,,,",19.67,12.42,17.41,6.02,19.52,13.87,15.09,8.29,1.02,10.96,13.73,7.27,5.09,4.02,15.59,15.19",",16.68,19.93,2.24,6.56,8.39,0.33,6.8,0.83,0.33,0.95,0.06,0.43,0.53",,
ENSG00000154537,9,5.465,"[9.27, 1.66]",100,1.615,"[1.51, 1.72]",100,59.23,FAM27C,,,,,,,,,",9.27,1.66",",1.51,1.72",,
